,function,size,pvalue,statistic
389,security_inode_mkdir,56,8.090466468527633e-18,34.14931565523951
1387,nd_jump_root,56,8.798529442091536e-18,33.988183258427966
78,blkcg_set_ioprio,56,1.0021217776706307e-17,41.536309646340236
185,common_perm_cond,56,1.0100529500518885e-17,41.51567051682716
1139,free_ldt_pgtables,56,1.0402100406950239e-17,33.66883844172426
1029,handle_dots,56,1.0414780797242426e-17,33.6665253873645
640,exit_tasks_rcu_start,56,1.0812351458629956e-17,33.595472277804475
462,recalc_sigpending,56,1.0921203374670145e-17,33.5764984903499
172,copy_page_range,56,1.3578518647108808e-17,40.748213826355446
783,exit_rcu,56,1.4001648490319946e-17,33.10917264741971
500,should_fail_alloc_page,56,1.4279614182372634e-17,33.07247010833266
782,exit_fs,56,1.480478523179275e-17,33.005139071804415
1367,mutex_lock_killable,56,1.552375069106227e-17,32.91693808798198
393,putname,56,1.5924235127263285e-17,32.86965714120633
1190,find_vma_prev,56,1.6794812906342764e-17,32.77106437776239
224,alloc_new_pud.constprop.0,56,1.782476903768516e-17,40.05479443260652
1462,our_mnt,56,1.9891823423550467e-17,32.459487173499426
905,get_seccomp_filter,56,2.0532838700566064e-17,32.40141504946526
949,filemap_read,56,2.162533266361339e-17,32.30671453717755
363,setattr_copy,56,2.3828834497269765e-17,32.13017909997286
590,ep_ptable_queue_proc,56,2.521018256411825e-17,32.028083334105546
313,release_pages,56,2.6311780087693873e-17,31.950805979647004
519,simple_lookup,56,2.6350024758583388e-17,31.948184743824104
597,destroy_context_ldt,56,2.7288280595201926e-17,31.885105109068604
781,ep_done_scan,56,2.932356126901791e-17,31.75579428243647
975,from_kgid,56,3.2418106490987467e-17,31.57629176458717
1689,kernfs_path_from_node_locked,56,3.342790936220268e-17,50.152487007621346
0,anon_vma_interval_tree_insert,56,3.627835515208249e-17,38.29795234379889
629,exec_mm_release,56,3.71938587077641e-17,31.331999289681033
1523,lru_add_fn,56,3.902918010491142e-17,49.59768370124705
962,getname_flags.part.0,56,4.0054509526693497e-17,31.201040287432573
573,simple_xattrs_free,56,4.5459152297842494e-17,30.978558651799585
218,apparmor_inode_init_security,56,5.48103348124834e-17,37.31266189235348
1232,posix_cpu_timers_exit_group,56,5.610214959412851e-17,30.612183666027985
1581,insert_vmap_area.constprop.0,56,5.899170161713073e-17,48.14781515527387
159,apparmor_file_open,56,5.921173192913128e-17,37.131012917300176
98,always_delete_dentry,56,6.000033371069138e-17,37.09998558183303
844,ep_refcount_dec_and_test,56,6.686559040178404e-17,30.309705276061337
1108,free_pid,56,6.941728929554259e-17,30.245534510955068
1135,inc_rlimit_ucounts,56,7.679142394981303e-17,30.073202184902968
12,consume_obj_stock,56,8.537374346387225e-17,36.2821621798352
1552,memcg_list_lru_alloc,56,8.81220239872521e-17,46.77938562915389
344,shmem_getattr,56,9.611906111643511e-17,29.693374411789318
1442,mode_strip_sgid,56,1.0924839492838298e-16,29.47881787623657
52,alloc_pages_bulk_array_mempolicy,56,1.1637085270057232e-16,35.57847278912282
282,simple_xattrs_init,56,1.1940043163718676e-16,29.330790503720014
1692,kmalloc_node_trace,56,1.2413711173125829e-16,45.64144527253116
216,blk_mq_hctx_has_pending,56,1.246839821619115e-16,35.42353980110478
1154,free_inode_nonrcu,56,1.2558423589082933e-16,29.246992598761974
564,security_inode_follow_link,56,1.2620971872474643e-16,29.23875995810702
1214,pick_file,56,1.2807037256449994e-16,29.214521924283133
1150,filemap_get_folios_tag,56,1.5629378442557575e-16,28.886594225287364
819,exit_aio,56,1.5798544110618998e-16,28.868969237340554
29,cgroup_exit,56,1.79094108278893e-16,34.62115067777242
848,destroy_inode,56,1.8136388538045035e-16,28.643945469967502
190,change_protection_range,56,1.833577885771577e-16,34.56963636752413
1499,mem_cgroup_update_tree,56,1.9018872840100939e-16,44.26280332201777
928,futex_get_value_locked,56,1.9362557409107273e-16,28.537860614462844
395,smp_call_function_single,56,2.0052742886790105e-16,28.48122024162469
